Run #,Apogee Time (s),Launch Time (s),Burnout Time (s),Ground Hit Time (s),Max X Position (m),Max Altitude (m),Max Velocity Z (m/s),Landing X Pos (m),Landing Lon (deg),Landing Lat (deg),Thrust Scale Factor,Random Parameters
1769,43.91133738,0,4.3,475.7842792,7846.579968,11032.62089,663.467869,7846.179549,-81.69455043,47.99789839,1.890820638,"{'gross_weight': 49170.84371986222, 'diameter': 0.1298143633893405, 'launch_rod_length': 1.9625304559530434, 'launch_temperature': 279.0955662623848, 'wind_direction': -1.540046724867283, 'wind_speed_average': 5.4403699160466, 'wind_turbulence_intensity': -2.8323274666524876, 'launch_rod_angle': -0.2436842560125683, 'launch_rod_direction': 1.5181854092356875, 'separation_delay_charge': -0.10856904856604734, 'wind_standard_deviation': 6.407878379720482}"
1770,46.48564646,0,4.3,504.2723054,3.16E-06,12165.05541,704.1584061,-9640.388563,-81.9295526,47.99373336,2.820591259,"{'gross_weight': 49179.1558047198, 'diameter': 0.13066482260074025, 'launch_rod_length': 2.10670837082308, 'launch_temperature': 297.3125071619212, 'wind_direction': 1.500412129273263, 'wind_speed_average': 13.316167946890621, 'wind_turbulence_intensity': -1.9535326054646864, 'launch_rod_angle': -0.17761582900549336, 'launch_rod_direction': 1.5892410705907456, 'separation_delay_charge': -0.1838661562718231, 'wind_standard_deviation': 6.319754758767262}"
1771,45.326,0,4.3,486.3709769,4384.830651,11685.9533,685.1320592,4384.830651,-81.74112356,47.95061176,3.866363371,"{'gross_weight': 49176.81771604502, 'diameter': 0.13118963342368314, 'launch_rod_length': 1.7284416457873368, 'launch_temperature': 290.9708328822414, 'wind_direction': -0.6775958590361455, 'wind_speed_average': 4.405246969796542, 'wind_turbulence_intensity': -0.9529244789533453, 'launch_rod_angle': -0.23311548978137475, 'launch_rod_direction': 1.5963950917701515, 'separation_delay_charge': 0.14250763715461257, 'wind_standard_deviation': 1.7576261667164732}"
1772,46.546,0,4.3,499.480677,402.646766,12256.30034,706.0337154,402.646766,-81.79458191,48.06144887,2.224545159,"{'gross_weight': 49176.97007647227, 'diameter': 0.13088256885965216, 'launch_rod_length': 2.2286204651990724, 'launch_temperature': 300.6803632630422, 'wind_direction': 3.2036416651553203, 'wind_speed_average': 7.133613318310165, 'wind_turbulence_intensity': -3.14136730410598, 'launch_rod_angle': -0.18515505336505003, 'launch_rod_direction': 1.5941056778793392, 'separation_delay_charge': -0.515864712979928, 'wind_standard_deviation': -2.8338956228410095}"
1773,45.876,0,4.3,491.7632734,6934.48976,11992.83735,699.0169942,6934.48976,-81.70683412,47.98076546,2.799428387,"{'gross_weight': 49174.37437407626, 'diameter': 0.13132647477893825, 'launch_rod_length': 1.734126139704899, 'launch_temperature': 305.965269531137, 'wind_direction': -1.272085450365387, 'wind_speed_average': 6.528160649397803, 'wind_turbulence_intensity': -1.0303522878104312, 'launch_rod_angle': -0.21526577630899799, 'launch_rod_direction': 1.6369555999725507, 'separation_delay_charge': 0.42614539495498144, 'wind_standard_deviation': -1.4929129018584921}"
1774,46.44632812,0,4.3,498.5715023,1.01E-06,12245.37495,707.6414712,-1594.757239,-81.82142137,47.97010889,1.160093255,"{'gross_weight': 49166.08037396104, 'diameter': 0.13057228182185318, 'launch_rod_length': 1.8171744747130782, 'launch_temperature': 307.175809776043, 'wind_direction': 0.4380758123312687, 'wind_speed_average': 1.031812902557645, 'wind_turbulence_intensity': 0.2812296573771019, 'launch_rod_angle': -0.13191773062573126, 'launch_rod_direction': 1.5366981027618676, 'separation_delay_charge': 0.37166554927969264, 'wind_standard_deviation': 0.2724166096683497}"
1775,45.93632812,0,4.3,494.8184429,3.53E-06,11895.82317,690.5676169,-7888.443169,-81.90611574,48.04560965,0.139937513,"{'gross_weight': 49182.94679693241, 'diameter': 0.13067936927952475, 'launch_rod_length': 2.1500256660576587, 'launch_temperature': 282.13731427092085, 'wind_direction': 2.145001582774755, 'wind_speed_average': 10.389985270621157, 'wind_turbulence_intensity': 6.606188601325575, 'launch_rod_angle': -0.24038237234807341, 'launch_rod_direction': 1.6767593245305663, 'separation_delay_charge': 0.04239189292655759, 'wind_standard_deviation': 3.2644723354021936}"
1776,46.465,0,4.3,498.4610754,1.47E-06,12164.00467,700.4176235,-3308.754403,-81.84452625,48.0649675,0.536289025,"{'gross_weight': 49182.33569412872, 'diameter': 0.13076521850911388, 'launch_rod_length': 1.9519280196273028, 'launch_temperature': 289.2578644480299, 'wind_direction': 2.7148536776895495, 'wind_speed_average': 8.833148413092125, 'wind_turbulence_intensity': -4.883695789493577, 'launch_rod_angle': -0.199956673970566, 'launch_rod_direction': 1.5663339037054025, 'separation_delay_charge': 0.20608743907129612, 'wind_standard_deviation': 0.18261338695316498}"
1777,45.26500056,0,4.3,487.903785,3.92E-06,11664.97704,685.6939471,-7669.026608,-81.90310749,48.01730527,3.57347705,"{'gross_weight': 49162.251121547575, 'diameter': 0.13138759122498697, 'launch_rod_length': 1.5925133701547922, 'launch_temperature': 291.5600513297271, 'wind_direction': 1.8196433550599322, 'wind_speed_average': 5.887273355194111, 'wind_turbulence_intensity': -6.7412696624625905, 'launch_rod_angle': -0.23063483883027514, 'launch_rod_direction': 1.5659345809454797, 'separation_delay_charge': -0.5866105091901396, 'wind_standard_deviation': 3.899508716071488}"
1778,46.19632812,0,4.3,495.2431238,4430.003103,12038.26186,695.9224886,4430.003103,-81.7403926,48.05839072,0.192213697,"{'gross_weight': 49171.668978533016, 'diameter': 0.13111128652173007, 'launch_rod_length': 1.8130375021263168, 'launch_temperature': 286.5662683363104, 'wind_direction': 3.7429441473684433, 'wind_speed_average': 7.997879072415762, 'wind_turbulence_intensity': 2.7380662053791043, 'launch_rod_angle': -0.21208643085535775, 'launch_rod_direction': 1.5005634259712324, 'separation_delay_charge': -0.7393180690684571, 'wind_standard_deviation': -7.1769095672597585}"
