Run #,Apogee Time (s),Launch Time (s),Burnout Time (s),Ground Hit Time (s),Max X Position (m),Max Altitude (m),Max Velocity Z (m/s),Landing X Pos (m),Landing Lon (deg),Landing Lat (deg),Thrust Scale Factor,Random Parameters
815,34.212625,0,7.254,335.4916357,3299.895309,6001.765217,434.9898933,3299.895309,-81.75563876,48.01180126,-0.493723635,"{'gross_weight': 10.338588102817386, 'diameter': 0.13034075364778425, 'launch_rod_length': 1.81285095925668, 'launch_temperature': 287.5393618129174, 'wind_direction': 4.335754506381198, 'wind_speed_average': 4.914456922104129, 'wind_turbulence_intensity': 6.644896935100746, 'launch_rod_angle': -0.19654273262283697, 'launch_rod_direction': 1.5666763193287956, 'separation_delay_charge': -0.016185134838209866, 'wind_standard_deviation': -3.3213142656014276}"
816,33.65532813,0,7.254,327.038921,5388.666133,5817.307571,426.650812,5388.666133,-81.72756661,48.00633629,7.437800829,"{'gross_weight': 16.098567105437567, 'diameter': 0.13160563269449393, 'launch_rod_length': 1.8699951187798374, 'launch_temperature': 288.74490542419204, 'wind_direction': 4.583212048196725, 'wind_speed_average': 8.633175292076197, 'wind_turbulence_intensity': 7.150187903560875, 'launch_rod_angle': -0.22725726454332132, 'launch_rod_direction': 1.5948928753061242, 'separation_delay_charge': 0.02215272304682489, 'wind_standard_deviation': -11.154469945513044}"
817,3.464106281,0,7.254,13.17085074,3.35E-06,161.1268367,87.86833185,-165.0694534,-81.80221853,47.9993349,-0.794323123,"{'gross_weight': 17.20718293286718, 'diameter': 0.13129628026761134, 'launch_rod_length': 1.9511411189950283, 'launch_temperature': 289.45268466906015, 'wind_direction': 1.1496531349213146, 'wind_speed_average': 12.288607629132127, 'wind_turbulence_intensity': 2.3238312032126087, 'launch_rod_angle': -0.20611354500487042, 'launch_rod_direction': 1.619557495929664, 'separation_delay_charge': -0.34205194614257417, 'wind_standard_deviation': 0.043113337376269316}"
818,33.8080625,0,7.254,327.6927987,1463.783455,5874.90282,428.297679,1463.783455,-81.78033934,47.96638366,-3.876954809,"{'gross_weight': 15.516041080987062, 'diameter': 0.13075073878057233, 'launch_rod_length': 1.835810344260599, 'launch_temperature': 298.1488516059096, 'wind_direction': -0.37689674990911093, 'wind_speed_average': 3.8756244897381005, 'wind_turbulence_intensity': 0.4057426481994625, 'launch_rod_angle': -0.2526108943658065, 'launch_rod_direction': 1.571165487884578, 'separation_delay_charge': -0.2714090889106531, 'wind_standard_deviation': -8.040218359847705}"
819,5.272100002,0,7.254,18.81517828,3.64E-06,224.0028716,90.28056667,-194.8099093,-81.80261833,48.00112976,1.724418481,"{'gross_weight': 22.121724987293568, 'diameter': 0.130918562397553, 'launch_rod_length': 1.7804036879874319, 'launch_temperature': 295.3703918787637, 'wind_direction': 2.1434013287345426, 'wind_speed_average': 16.33592969208332, 'wind_turbulence_intensity': 3.9038002489164803, 'launch_rod_angle': -0.24640806532064688, 'launch_rod_direction': 1.5942346819955338, 'separation_delay_charge': -0.13491848420674585, 'wind_standard_deviation': -4.513600682569921}"
820,33.07532813,0,7.254,318.2061435,3.85E-06,5644.98857,419.0677178,-2915.839365,-81.83917908,47.98650727,2.80389229,"{'gross_weight': 19.102948552435798, 'diameter': 0.13035116752570275, 'launch_rod_length': 1.8619421295359124, 'launch_temperature': 296.4263420574179, 'wind_direction': 1.0953171285821364, 'wind_speed_average': -0.2988162811583237, 'wind_turbulence_intensity': -5.468062058479414, 'launch_rod_angle': -0.24580136231648375, 'launch_rod_direction': 1.5505967502177362, 'separation_delay_charge': 0.2591823534994105, 'wind_standard_deviation': -3.937040778972401}"
821,3.679902805,0,7.254,15.70358667,1.34E-07,204.4347756,104.8176407,-10.96194758,-81.80014732,47.99736629,-1.533047752,"{'gross_weight': 5.241799433702841, 'diameter': 0.1299772917114047, 'launch_rod_length': 1.7450427831056885, 'launch_temperature': 291.2128903355413, 'wind_direction': 0.03749886739920405, 'wind_speed_average': 10.749341997870241, 'wind_turbulence_intensity': 6.753157202310032, 'launch_rod_angle': -0.20099914563301663, 'launch_rod_direction': 1.557139957771751, 'separation_delay_charge': 0.12744403865048345, 'wind_standard_deviation': 1.053652398768403}"
822,27.0152666,0,7.254,239.9662379,3.53E-06,3708.174735,321.0082978,-6385.473369,-81.88581605,47.99657913,4.609852457,"{'gross_weight': 8.613241783592525, 'diameter': 0.1305854622267644, 'launch_rod_length': 1.7955014638527744, 'launch_temperature': 281.898114063765, 'wind_direction': 1.5128900484183594, 'wind_speed_average': 5.633497220326327, 'wind_turbulence_intensity': -0.20745454639479904, 'launch_rod_angle': -0.1978805678495083, 'launch_rod_direction': 1.6423163721980925, 'separation_delay_charge': -0.2904347193810379, 'wind_standard_deviation': 5.477673202214635}"
823,33.864,0,7.254,331.4034296,2.58E-06,5893.557042,430.9883602,-3035.70737,-81.84081709,48.02113605,0.08562816,"{'gross_weight': 17.98712458528911, 'diameter': 0.12986060607077232, 'launch_rod_length': 1.7857951819290803, 'launch_temperature': 291.92564459449966, 'wind_direction': 2.2318733962007165, 'wind_speed_average': 5.227258569500523, 'wind_turbulence_intensity': 0.9552820382734248, 'launch_rod_angle': -0.18236602680547853, 'launch_rod_direction': 1.5155697472812901, 'separation_delay_charge': 0.12822224162328316, 'wind_standard_deviation': 2.9369815374896664}"
824,33.672625,0,7.254,333.4252355,2.98E-06,5843.411389,429.1148052,-3391.67403,-81.84555922,47.97124484,1.703946331,"{'gross_weight': 19.078926374386818, 'diameter': 0.1306781274523361, 'launch_rod_length': 1.682830026774775, 'launch_temperature': 276.3472440973168, 'wind_direction': 0.8134396629560731, 'wind_speed_average': 7.241165514820565, 'wind_turbulence_intensity': -0.46792558965758896, 'launch_rod_angle': -0.23218180087982238, 'launch_rod_direction': 1.5597516104713165, 'separation_delay_charge': 0.12015085465641852, 'wind_standard_deviation': 1.9943203389217674}"
825,33.9780625,0,7.254,333.8877017,3.93E-06,5920.57265,431.3643408,-4021.104387,-81.85404102,47.99691092,1.611927875,"{'gross_weight': 22.352779036976727, 'diameter': 0.13151020220131415, 'launch_rod_length': 1.9812945576860592, 'launch_temperature': 282.4023379987671, 'wind_direction': 1.4868598290617359, 'wind_speed_average': 5.439078058996613, 'wind_turbulence_intensity': -0.6998661943584639, 'launch_rod_angle': -0.22264423014463763, 'launch_rod_direction': 1.5854560368709332, 'separation_delay_charge': 0.41642070911224977, 'wind_standard_deviation': -4.5506013237187855}"
826,34.30532813,0,7.254,336.2942952,3833.643092,6031.872008,435.5001469,3833.643092,-81.74846419,48.01107516,1.831137322,"{'gross_weight': 19.344426232703732, 'diameter': 0.13130146300264994, 'launch_rod_length': 1.3461969220275685, 'launch_temperature': 290.7785572914121, 'wind_direction': 4.4030846491728735, 'wind_speed_average': 6.088060656084606, 'wind_turbulence_intensity': -0.8231055517193141, 'launch_rod_angle': -0.1982442574792669, 'launch_rod_direction': 1.567609701401635, 'separation_delay_charge': -0.25714220917210906, 'wind_standard_deviation': -2.618794954926128}"
